Key,Administration,Party,Department,Name,LastName,ServiceStart,ServiceEnd,DeptScandalFlag,ScandalFlag,ScandalDesc,EduDesc,Bachelors,Masters,MD,Law,Doctorate,MilitaryService,MilitaryDatesServed,MilitaryBranch,Gender,ForeignBorn,Minority,DiedOffice,SenateVotesFor,SenateVotesAgainst,NotesDiscrepancies
88,Jackson,Democrat,President,Andrew Jackson,Jackson,3/4/1829,3/3/1837,,,,read law,,,,1,,cmdr.; maj. gen.; brig. gen.,1812-1814; 1814-1816; Civil War,Militia/National Guard; Army; Army,1,0,0,0,eo,eo,
89,Jackson,Democrat,Vice President,John C. Calhoun,Calhoun,3/4/1829,3/3/1833,,,,Yale University (grad.); Litchfield Law School (law deg.),1,,,1,,,,,1,0,0,0,eo,eo,
90,Jackson,Democrat,Vice President,Martin Van Buren,Van Buren,3/4/1833,3/3/1837,,,,read law,,,,1,,,,,1,0,0,0,eo,eo,
91,Jackson,Democrat,Secretary of State,Martin Van Buren,Van Buren,3/28/1829,3/23/1831,,,,read law,,,,1,,,,,1,0,0,0,nr,nr,
92,Jackson,Democrat,Secretary of State,Edward Livingston,Livingston,5/24/1831,5/29/1833,,,,Princeton University (grad.),1,,,1,,ADC,War of 1812,Army,1,0,0,0,nr,nr,
93,Jackson,Democrat,Secretary of State,Louis McLane,McLane,5/29/1833,6/30/1834,,,,Newark College,,,,1,,midshipman,1798-1799,Navy,1,0,0,0,nr,nr,
94,Jackson,Democrat,Secretary of State,John Forsyth,Forsyth,6/27/1834,3/3/1837,,,,Princeton University (grad.),1,,,1,,,,,1,0,0,0,nr,nr,"Princeton not listed in Sobel et al., but confirmed in Biographical Directory of the United States Congress"
95,Jackson,Democrat,Secretary of the Treasury,Samuel D. Ingham,Ingham,3/6/1829,6/21/1831,,,,no college,,,,,,,,,1,0,0,0,nr,nr,
96,Jackson,Democrat,Secretary of the Treasury,Louis McLane,McLane,8/8/1831,5/29/1833,,,,Newark College,,,,1,,midshipman,1798-1799,Navy,1,0,0,0,nr,nr,
97,Jackson,Democrat,Secretary of the Treasury,William J. Duane,Duane,6/1/1833,9/23/1833,,,,read law,,,,1,,,,,1,1,0,0,nr,nr,
98,Jackson,Democrat,Secretary of the Treasury,Roger B. Taney,Taney,9/23/1833,6/25/1834,,,,Dickinson College (BA),1,,,1,,,,,1,0,0,0,nr,nr,
99,Jackson,Democrat,Secretary of the Treasury,Levi Woodbury,Woodbury,7/1/1834,3/3/1837,,,,Dartmouth College (BA); Litchfield Law School,1,,,1,,,,,1,0,0,0,nr,nr,
100,Jackson,Democrat,Secretary of War,John H. Eaton,Eaton,3/9/1829,6/20/1831,,,,"University of North Carolina, Chapel Hill",,,,1,,,,,1,0,0,0,nr,nr,
101,Jackson,Democrat,Secretary of War,Lewis Cass,Cass,8/8/1831,10/5/1836,,,,read law,,,,1,,brig. gen.,War of 1812,Army,1,0,0,0,nr,nr,
102,Jackson,Democrat,Secretary of War,Benjamin F. Butler,Butler,10/26/1836,3/3/1837,,,,Colby College,1,,,1,,,,,1,0,0,0,nr,nr,Listed as 1834 in CRS_1985_GOV_0034; Colby College not listed in Sobel et al.
103,Jackson,Democrat,Attorney General,John M. Berrien,Berrien,3/9/1829,6/22/1831,,,,Princeton University (grad.),1,,,1,,capt.,War of 1812,Army,1,0,0,0,nr,nr,
